idJuego,titulo,estrenoYear,cantDisponible,clasificacion,nivelTitulo,desarrollador
21,Halo 5: Guardians,2015,4,M,Clasicos,343 Industries
22,Red Dead Redemption 2,2018,5,M,Platino,Rockstar Games
23,Bioshock,2007,4,M,Clasicos,2K Games
24,Dark Souls III,2016,5,M,Clasicos,From Software
25,Fallout 4,2015,6,M,Clasicos,Bethesda
26,Grand Theft Auto V,2013,4,M,Clasicos,Rockstar Games
27,The Witcher 3: Wild Hunt,2015,4,M,Clasicos,CD Projekt 
28,Borderlands 2,2012,4,T,Clasicos,Gearbox Software
29,Call of Duty: Modern Warfare,2019,8,M,Platino,Infinity Ward
30,Dishonored,2012,4,M,Clasicos,Bethesda
31,Skyrim,2012,5,M,Clasicos,Bethesda
32,Battlefield 3,2011,4,T,Clasicos,EA
33,Monster Hunter: World,2018,4,T,Platino,Capcom
34,Tomb Raider,2013,4,T,Clasicos,Square Enix
35,Sekiro: Shadows Die Twice,2019,6,T,Platino,From Software
36,Metal Gear Solid V: The Phantom Pain,2015,5,M,Clasicos,Kojima Productions
37,The Last of Us,2013,5,M,Clasicos,Naughty Dog
38,NieR: Automata,2017,5,T,Platino,PlatimumGames
39,Final Fantasy XV,2016,6,E,Platino,Square Enix
40,DOOM Eternal,2020,7,M,Platino,Bethesda